filename,category,subject_prompt,seed,width,height,status,batch
recruitment_captain.png,Recruitments,"a lone pirate captain standing tall with solemn gravitas, near-solid black ink semi-silhouette, one readable eye in negative space, long coat and tricorne hat, exactly one figure, holding a saber with its blade painted in jade green ink, a flintlock pistol at his belt painted in plum violet ink, a large ship cannon standing on the ground beside him with its barrel and carriage entirely painted in bright vermillion red ink, the cannon is the only red object, a billowing square sail on a bare mast directly behind him painted in indigo blue ink, no boat, no ship hull, all four suit objects large and clearly visible, the four colored objects as the only colored elements, every other element in black ink",1347,880,1232,approved,a
recruitment_deckhand.png,Recruitments,"a lone pirate sailor standing watchful with solemn gravitas, near-solid black ink semi-silhouette, one readable eye in negative space, exactly one figure dominant in the frame, holding a single flintlock pistol painted in plum violet ink with the same wet brush strokes, the pistol as the only colored element, every other element in black ink",1302,880,1232,approved,a
recruitment_navigator.png,Recruitments,"a lone pirate navigator standing with solemn gravitas, near-solid black ink semi-silhouette, one readable eye in negative space, exactly one figure dominant in the frame, holding a tall staff bearing one billowing square sail painted in indigo blue ink with the same wet brush strokes, the sail as the only colored element, no ship, no boat, every other element in black ink",1303,880,1232,approved,a
recruitment_gunner.png,Recruitments,"a lone pirate gunner kneeling with solemn gravitas to light the fuse of a single ship cannon, near-solid black ink semi-silhouette, one readable eye in negative space, exactly one figure dominant in the frame, the cannon painted in vermillion red ink with the same wet brush strokes, the cannon as the only colored element, every other element in black ink",1304,880,1232,approved,a
recruitment_officer.png,Recruitments,"a lone pirate officer in an elegant fencing stance full of gravitas, near-solid black ink semi-silhouette, one readable eye in negative space, exactly one figure dominant in the frame, holding a single saber painted in jade green ink with the same wet brush strokes, the saber as the only colored element, every other element in black ink",1305,880,1232,approved,a
recruitment_deckhands.png,Recruitments,"a lone veteran pirate sailor standing firm with solemn gravitas, rendered as a completely solid black ink silhouette with no facial detail, no skin, no clothing colors, one readable scarred eye in negative space as the only facial feature, exactly one figure dominant in the frame, holding two flintlock pistols one in each hand painted in plum violet ink with the same wet brush strokes, the two pistols as the only colored elements, everything else pure black ink",1335,880,1232,approved,a
recruitment_sailmaster.png,Recruitments,"a lone pirate sailmaster hauling rigging ropes with solemn gravitas, near-solid black ink semi-silhouette, one readable eye in negative space, exactly one figure dominant in the frame, two billowing square sails above him painted in indigo blue ink with the same wet brush strokes, the two sails as the only colored elements, no ship hull, every other element in black ink",1307,880,1232,approved,a
recruitment_master_gunner.png,Recruitments,"a lone burly pirate master gunner standing with solemn gravitas between two ship cannons, near-solid black ink semi-silhouette, one readable eye in negative space, exactly one figure dominant in the frame, both cannons painted in vermillion red ink with the same wet brush strokes, the two cannons as the only colored elements, every other element in black ink",1308,880,1232,approved,a
recruitment_quartermaster.png,Recruitments,"a lone stern pirate quartermaster standing with solemn gravitas, near-solid black ink semi-silhouette, one readable scarred eye in negative space, exactly one figure dominant in the frame, holding two crossed sabers painted in jade green ink with the same wet brush strokes, the two sabers as the only colored elements, every other element in black ink",1309,880,1232,approved,a
raid_canons.png,Raids,"a pirate ship at anchor before a fortified city on a rocky island, stone ramparts and watchtowers above the shore, the ship and the fortress and the sea and the sky all in black ink on plain parchment, energetic splashes of vermillion red ink bursting tightly around the ship's hull, the colored splashes only around the boat, the sea in pure black ink wash with no color in the water, vermillion red as the only colored element",1310,880,1232,approved,b
raid_sails.png,Raids,"a pirate ship gliding toward a fortified city on a rocky island, stone ramparts and watchtowers above the shore, the ship and the fortress and the sea and the sky all in pure black ink on plain parchment, the ship's hull in solid black ink, big bold energetic splashes of deep indigo blue ink bursting all around the ship and its sails, generous indigo blue coverage, the colored splashes only around the boat, the sea in pure black ink wash with no color in the water, deep indigo blue as the only color anywhere",1336,880,1232,approved,b
raid_officers.png,Raids,"a pirate ship close under the walls of a fortified city on a rocky island, stone ramparts and watchtowers above the shore, the ship and the fortress and the sea and the sky all in pure black ink on plain parchment, the ship's hull in solid black ink, abundant energetic splashes of jade green ink bursting all around the ship, generous jade coverage around the boat, the sea in pure black ink wash with no color in the water, jade green as the only color anywhere",1337,880,1232,approved,b
raid_sailors.png,Raids,"a pirate ship standing off a fortified city on a rocky island, stone ramparts and watchtowers above the shore, the ship and the fortress and the sea and the sky all in pure black ink on plain parchment, the ship's hull in solid black ink, big energetic splashes of plum violet ink bursting tightly around the ship only, no color on the shore, no color on the hills, the sea in pure black ink wash with no color in the water, plum violet as the only color anywhere",1338,880,1232,approved,b
boarding_1v1.png,Away Boarding,"two rival pirate crews fighting hand to hand aboard one single ship, a boarding melee across the deck, all figures as near-solid black ink semi-silhouettes, exactly one ship, entirely monochrome black ink, no color anywhere",1314,880,1232,retired,a
boarding_2v2.png,Away Boarding,"two pirate ships lashed side by side in a boarding battle, crews swinging on ropes between the two ships, all figures as near-solid black ink semi-silhouettes, exactly two ships, entirely monochrome black ink, no color anywhere",1315,880,1232,retired,a
talisman_spyglass.png,Talismans,"a single antique captain's telescope with one long tapering cylindrical tube, drawn fully extended from wide barrel to narrow eyepiece, held at a slight diagonal, drawn in loose simplified sumi-e brush strokes, flat stylized shapes, a muted wash of brass color, exactly one tube, no binoculars, no twin tubes, no double lenses, centered inside a large energetic hand-brushed black ink enso circle, plain parchment around it",1344,880,1232,approved,c
talisman_trapped_chest.png,Talismans,"a treasure chest with its lid open revealing a row of large jagged iron teeth like a bear trap inside the opening, drawn in loose simplified sumi-e brush strokes, flat stylized shapes, a muted wash of wood brown color on the chest, the chest small enough to sit fully inside a large complete hand-brushed black ink enso circle, the full circle visible all the way around the chest, plain parchment background",1345,880,1232,approved,c
talisman_cursed_jewel.png,Talismans,"a large faceted jewel with thin curling wisps of dark smoke rising from it drawn in loose simplified sumi-e brush strokes, flat stylized shapes with no realistic shading, a muted wash of deep ruby color on the jewel, centered inside a large energetic hand-brushed black ink enso circle, everything outside the jewel in pure black ink on plain parchment",1318,880,1232,approved,c
talisman_golden_monkey.png,Talismans,"a golden monkey idol statue drawn as a simple hand-drawn ink illustration, bold black brush outlines filled with flat gold ink wash, visible brush strokes, no shading, no realism, a stylized cartoon-like sitting monkey figurine on a small base, clearly a drawing not a photograph, centered inside a large complete hand-brushed black ink enso circle, plain parchment background",1350,880,1232,approved,c
talisman_sailor_counter_boarding.png,Talismans,"a single flintlock pistol alone painted in plum violet ink with wet brush strokes, no ship, no figure, no scene, centered inside a large energetic hand-brushed black ink enso circle, the pistol as the only colored element, plain parchment inside the circle",1320,880,1232,approved,c
talisman_sail_counter_boarding.png,Talismans,"a single billowing square canvas sail alone painted in indigo blue ink with wet brush strokes, only the sail cloth itself, no ship, no boat, no hull, no rigging, no figure, no scene, centered inside a large energetic hand-brushed black ink enso circle, the sail as the only colored element, plain parchment inside the circle",1321,880,1232,approved,c
talisman_canon_counter_boarding.png,Talismans,"a single ship cannon alone painted in vermillion red ink with wet brush strokes, no ship, no figure, no scene, centered inside a large energetic hand-brushed black ink enso circle, the cannon as the only colored element, plain parchment inside the circle",1322,880,1232,approved,c
talisman_officer_counter_boarding.png,Talismans,"a single curved cutlass saber alone painted in jade green ink with wet brush strokes, no ship, no figure, no scene, centered inside a large energetic hand-brushed black ink enso circle, the saber as the only colored element, plain parchment inside the circle",1323,880,1232,approved,c
map_treasure_01.png,Treasure Map,"an aged pirate treasure map of one massive island filling most of the canvas, deep bays and inland lakes, drawn in fine vintage cartographic black ink linework on warm aged parchment, hatched shorelines, forests of small palm trees, mountain ridges, skull-shaped rocks and tiny skull markers, a decorative sea monster and a small drawn sailing ship in the water, an ornate compass rose, all open water filled with small repeated wave marks, land covering about sixty percent of the surface, dense busy composition with something drawn everywhere, map content bleeding off all four edges, a bold dashed treasure route painted in bright vermillion red ink winding across the whole map, ending at one large vermillion red X mark, the red dashed route and the red X as the only colored elements, everything else entirely black ink, the route entering at the bottom left corner, passing through the top left corner, the X in the top right corner",1353,880,1232,retired,b
map_treasure_02.png,Treasure Map,"an aged pirate treasure map of a sprawling archipelago of many palm islands, drawn in fine vintage cartographic black ink linework on warm aged parchment, hatched shorelines, forests of small palm trees, mountain ridges, skull-shaped rocks and tiny skull markers, a decorative sea monster and a small drawn sailing ship in the water, an ornate compass rose, all open water filled with small repeated wave marks, land covering about sixty percent of the surface, dense busy composition with something drawn everywhere, map content bleeding off all four edges, a bold dashed treasure route painted in bright vermillion red ink winding across the whole map, ending at one large vermillion red X mark, the red dashed route and the red X as the only colored elements, everything else entirely black ink, the route entering at the bottom right corner, passing through the bottom left corner, the X in the top left corner",1354,880,1232,retired,b
curse_release_the_kraken.png,Curses,"colossal kraken tentacles erupting from stylized black ink waves, one readable eye in negative space, accents of vermillion red ink splashed through the water spray, vermillion as the only colored element",1326,880,1232,approved,b
curse_whirlpool.png,Curses,"a giant spiraling whirlpool swallowing a small pirate ship, rendered in swirling black ink strokes, an integrated splash of jade green ink swirled through the vortex, jade green as the only colored element",1327,880,1232,approved,b
curse_tempest_in_a_jar.png,Curses,"a corked glass jar containing a raging miniature storm with lightning and waves, rendered in bold black ink, accents of plum violet ink flashing inside the jar, plum violet as the only colored element",1328,880,1232,approved,b
curse_ghost_ship.png,Curses,"a spectral ghost ship with tattered sails drifting out of thick rolling mist, rendered in black ink wash, an eerie glow of plum violet ink integrated in the mist around the hull, plum violet as the only colored element",1329,880,1232,approved,b
curse_foggy_island.png,Curses,"a tall jagged island with sharp rocky peaks filling the frame, half-hidden in thick rolling banks of fog, no ship, no boat, no figures, rendered in black ink wash on parchment, accents of indigo blue ink drifting through the mist, indigo blue as the only colored element",1339,880,1232,approved,b
